fieldID,imagepath,labelpath,datepath
97,data16/97_sits.npy,data16/97_labels.npy,data16/97_dates.npy
98,data16/98_sits.npy,data16/98_labels.npy,data16/98_dates.npy
99,data16/99_sits.npy,data16/99_labels.npy,data16/99_dates.npy
100,data16/100_sits.npy,data16/100_labels.npy,data16/100_dates.npy
101,data16/101_sits.npy,data16/101_labels.npy,data16/101_dates.npy
113,data16/113_sits.npy,data16/113_labels.npy,data16/113_dates.npy
114,data16/114_sits.npy,data16/114_labels.npy,data16/114_dates.npy
115,data16/115_sits.npy,data16/115_labels.npy,data16/115_dates.npy
116,data16/116_sits.npy,data16/116_labels.npy,data16/116_dates.npy
117,data16/117_sits.npy,data16/117_labels.npy,data16/117_dates.npy
118,data16/118_sits.npy,data16/118_labels.npy,data16/118_dates.npy
121,data16/121_sits.npy,data16/121_labels.npy,data16/121_dates.npy
122,data16/122_sits.npy,data16/122_labels.npy,data16/122_dates.npy
123,data16/123_sits.npy,data16/123_labels.npy,data16/123_dates.npy
124,data16/124_sits.npy,data16/124_labels.npy,data16/124_dates.npy
125,data16/125_sits.npy,data16/125_labels.npy,data16/125_dates.npy
126,data16/126_sits.npy,data16/126_labels.npy,data16/126_dates.npy
129,data16/129_sits.npy,data16/129_labels.npy,data16/129_dates.npy
130,data16/130_sits.npy,data16/130_labels.npy,data16/130_dates.npy
131,data16/131_sits.npy,data16/131_labels.npy,data16/131_dates.npy
132,data16/132_sits.npy,data16/132_labels.npy,data16/132_dates.npy
133,data16/133_sits.npy,data16/133_labels.npy,data16/133_dates.npy
134,data16/134_sits.npy,data16/134_labels.npy,data16/134_dates.npy
137,data16/137_sits.npy,data16/137_labels.npy,data16/137_dates.npy
138,data16/138_sits.npy,data16/138_labels.npy,data16/138_dates.npy
139,data16/139_sits.npy,data16/139_labels.npy,data16/139_dates.npy
140,data16/140_sits.npy,data16/140_labels.npy,data16/140_dates.npy
141,data16/141_sits.npy,data16/141_labels.npy,data16/141_dates.npy
142,data16/142_sits.npy,data16/142_labels.npy,data16/142_dates.npy
145,data16/145_sits.npy,data16/145_labels.npy,data16/145_dates.npy
146,data16/146_sits.npy,data16/146_labels.npy,data16/146_dates.npy
147,data16/147_sits.npy,data16/147_labels.npy,data16/147_dates.npy
148,data16/148_sits.npy,data16/148_labels.npy,data16/148_dates.npy
149,data16/149_sits.npy,data16/149_labels.npy,data16/149_dates.npy
