fieldID,imagepath,labelpath
10003,PASTISFresh/DATA_S2/S2_10003.npy,PASTISFresh/ANNOTATIONS/TARGET_10003.npy
10010,PASTISFresh/DATA_S2/S2_10010.npy,PASTISFresh/ANNOTATIONS/TARGET_10010.npy
10012,PASTISFresh/DATA_S2/S2_10012.npy,PASTISFresh/ANNOTATIONS/TARGET_10012.npy
20000,PASTISFresh/DATA_S2/S2_20000.npy,PASTISFresh/ANNOTATIONS/TARGET_20000.npy
20004,PASTISFresh/DATA_S2/S2_20004.npy,PASTISFresh/ANNOTATIONS/TARGET_20004.npy
20005,PASTISFresh/DATA_S2/S2_20005.npy,PASTISFresh/ANNOTATIONS/TARGET_20005.npy
30001,PASTISFresh/DATA_S2/S2_30001.npy,PASTISFresh/ANNOTATIONS/TARGET_30001.npy
30004,PASTISFresh/DATA_S2/S2_30004.npy,PASTISFresh/ANNOTATIONS/TARGET_30004.npy
30018,PASTISFresh/DATA_S2/S2_30018.npy,PASTISFresh/ANNOTATIONS/TARGET_30018.npy
40002,PASTISFresh/DATA_S2/S2_40002.npy,PASTISFresh/ANNOTATIONS/TARGET_40002.npy
40005,PASTISFresh/DATA_S2/S2_40005.npy,PASTISFresh/ANNOTATIONS/TARGET_40005.npy
40025,PASTISFresh/DATA_S2/S2_40025.npy,PASTISFresh/ANNOTATIONS/TARGET_40025.npy
