fieldID,imagepath,labelpath
10000,PASTISFresh/DATA_S2/S2_10000.npy,PASTISFresh/ANNOTATIONS/TARGET_10000.npy
10001,PASTISFresh/DATA_S2/S2_10001.npy,PASTISFresh/ANNOTATIONS/TARGET_10001.npy
10003,PASTISFresh/DATA_S2/S2_10003.npy,PASTISFresh/ANNOTATIONS/TARGET_10003.npy
10007,PASTISFresh/DATA_S2/S2_10007.npy,PASTISFresh/ANNOTATIONS/TARGET_10007.npy
10010,PASTISFresh/DATA_S2/S2_10010.npy,PASTISFresh/ANNOTATIONS/TARGET_10010.npy
10012,PASTISFresh/DATA_S2/S2_10012.npy,PASTISFresh/ANNOTATIONS/TARGET_10012.npy
10015,PASTISFresh/DATA_S2/S2_10015.npy,PASTISFresh/ANNOTATIONS/TARGET_10015.npy
10017,PASTISFresh/DATA_S2/S2_10017.npy,PASTISFresh/ANNOTATIONS/TARGET_10017.npy
10018,PASTISFresh/DATA_S2/S2_10018.npy,PASTISFresh/ANNOTATIONS/TARGET_10018.npy
10021,PASTISFresh/DATA_S2/S2_10021.npy,PASTISFresh/ANNOTATIONS/TARGET_10021.npy
10022,PASTISFresh/DATA_S2/S2_10022.npy,PASTISFresh/ANNOTATIONS/TARGET_10022.npy
10025,PASTISFresh/DATA_S2/S2_10025.npy,PASTISFresh/ANNOTATIONS/TARGET_10025.npy
10029,PASTISFresh/DATA_S2/S2_10029.npy,PASTISFresh/ANNOTATIONS/TARGET_10029.npy
10030,PASTISFresh/DATA_S2/S2_10030.npy,PASTISFresh/ANNOTATIONS/TARGET_10030.npy
10031,PASTISFresh/DATA_S2/S2_10031.npy,PASTISFresh/ANNOTATIONS/TARGET_10031.npy
10032,PASTISFresh/DATA_S2/S2_10032.npy,PASTISFresh/ANNOTATIONS/TARGET_10032.npy
10033,PASTISFresh/DATA_S2/S2_10033.npy,PASTISFresh/ANNOTATIONS/TARGET_10033.npy
10037,PASTISFresh/DATA_S2/S2_10037.npy,PASTISFresh/ANNOTATIONS/TARGET_10037.npy
10040,PASTISFresh/DATA_S2/S2_10040.npy,PASTISFresh/ANNOTATIONS/TARGET_10040.npy
10041,PASTISFresh/DATA_S2/S2_10041.npy,PASTISFresh/ANNOTATIONS/TARGET_10041.npy
10042,PASTISFresh/DATA_S2/S2_10042.npy,PASTISFresh/ANNOTATIONS/TARGET_10042.npy
10046,PASTISFresh/DATA_S2/S2_10046.npy,PASTISFresh/ANNOTATIONS/TARGET_10046.npy
10047,PASTISFresh/DATA_S2/S2_10047.npy,PASTISFresh/ANNOTATIONS/TARGET_10047.npy
10048,PASTISFresh/DATA_S2/S2_10048.npy,PASTISFresh/ANNOTATIONS/TARGET_10048.npy
10052,PASTISFresh/DATA_S2/S2_10052.npy,PASTISFresh/ANNOTATIONS/TARGET_10052.npy
10054,PASTISFresh/DATA_S2/S2_10054.npy,PASTISFresh/ANNOTATIONS/TARGET_10054.npy
10056,PASTISFresh/DATA_S2/S2_10056.npy,PASTISFresh/ANNOTATIONS/TARGET_10056.npy
10057,PASTISFresh/DATA_S2/S2_10057.npy,PASTISFresh/ANNOTATIONS/TARGET_10057.npy
10058,PASTISFresh/DATA_S2/S2_10058.npy,PASTISFresh/ANNOTATIONS/TARGET_10058.npy
10059,PASTISFresh/DATA_S2/S2_10059.npy,PASTISFresh/ANNOTATIONS/TARGET_10059.npy
10060,PASTISFresh/DATA_S2/S2_10060.npy,PASTISFresh/ANNOTATIONS/TARGET_10060.npy
10061,PASTISFresh/DATA_S2/S2_10061.npy,PASTISFresh/ANNOTATIONS/TARGET_10061.npy
10064,PASTISFresh/DATA_S2/S2_10064.npy,PASTISFresh/ANNOTATIONS/TARGET_10064.npy
10065,PASTISFresh/DATA_S2/S2_10065.npy,PASTISFresh/ANNOTATIONS/TARGET_10065.npy
10067,PASTISFresh/DATA_S2/S2_10067.npy,PASTISFresh/ANNOTATIONS/TARGET_10067.npy
10068,PASTISFresh/DATA_S2/S2_10068.npy,PASTISFresh/ANNOTATIONS/TARGET_10068.npy
10070,PASTISFresh/DATA_S2/S2_10070.npy,PASTISFresh/ANNOTATIONS/TARGET_10070.npy
10071,PASTISFresh/DATA_S2/S2_10071.npy,PASTISFresh/ANNOTATIONS/TARGET_10071.npy
10073,PASTISFresh/DATA_S2/S2_10073.npy,PASTISFresh/ANNOTATIONS/TARGET_10073.npy
10075,PASTISFresh/DATA_S2/S2_10075.npy,PASTISFresh/ANNOTATIONS/TARGET_10075.npy
10078,PASTISFresh/DATA_S2/S2_10078.npy,PASTISFresh/ANNOTATIONS/TARGET_10078.npy
10079,PASTISFresh/DATA_S2/S2_10079.npy,PASTISFresh/ANNOTATIONS/TARGET_10079.npy
10080,PASTISFresh/DATA_S2/S2_10080.npy,PASTISFresh/ANNOTATIONS/TARGET_10080.npy
10082,PASTISFresh/DATA_S2/S2_10082.npy,PASTISFresh/ANNOTATIONS/TARGET_10082.npy
10083,PASTISFresh/DATA_S2/S2_10083.npy,PASTISFresh/ANNOTATIONS/TARGET_10083.npy
10084,PASTISFresh/DATA_S2/S2_10084.npy,PASTISFresh/ANNOTATIONS/TARGET_10084.npy
10086,PASTISFresh/DATA_S2/S2_10086.npy,PASTISFresh/ANNOTATIONS/TARGET_10086.npy
10087,PASTISFresh/DATA_S2/S2_10087.npy,PASTISFresh/ANNOTATIONS/TARGET_10087.npy
10089,PASTISFresh/DATA_S2/S2_10089.npy,PASTISFresh/ANNOTATIONS/TARGET_10089.npy
10091,PASTISFresh/DATA_S2/S2_10091.npy,PASTISFresh/ANNOTATIONS/TARGET_10091.npy
10093,PASTISFresh/DATA_S2/S2_10093.npy,PASTISFresh/ANNOTATIONS/TARGET_10093.npy
10094,PASTISFresh/DATA_S2/S2_10094.npy,PASTISFresh/ANNOTATIONS/TARGET_10094.npy
10096,PASTISFresh/DATA_S2/S2_10096.npy,PASTISFresh/ANNOTATIONS/TARGET_10096.npy
10098,PASTISFresh/DATA_S2/S2_10098.npy,PASTISFresh/ANNOTATIONS/TARGET_10098.npy
10101,PASTISFresh/DATA_S2/S2_10101.npy,PASTISFresh/ANNOTATIONS/TARGET_10101.npy
10102,PASTISFresh/DATA_S2/S2_10102.npy,PASTISFresh/ANNOTATIONS/TARGET_10102.npy
10104,PASTISFresh/DATA_S2/S2_10104.npy,PASTISFresh/ANNOTATIONS/TARGET_10104.npy
10105,PASTISFresh/DATA_S2/S2_10105.npy,PASTISFresh/ANNOTATIONS/TARGET_10105.npy
